Oper,DataType,Code,#Operand,#Result,Latency,Throughput,UMC28-Area (um2),UMC28-Power (uW),VU9P-TotalLUTs,VU9P-LogicLUTs,VU9P-LUTRAMs,VU9P-SRLs,VU9P-FFs,VU9P-RAMB36,VU9P-RAMB18,VU9P-URAM,VU9P-DSPBlocks,Notes
NONE,bitwise,1,1,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Max,I16x4,2,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Max,I16x2,3,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Max,I16,4,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Min,I16x4,5,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Min,I16x2,6,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Min,I16,7,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Concat,I32x2,8,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Concat,I64,9,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Concat,I32,10,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Max,I64,11,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Min,I64,12,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
Compare,I64,13,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
HLAdd,I32x2,14,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
HLAdd,I64,15,2,1,1,1,,,18,18,0,0,0,0,0,0,0,est
LT,I16x2,16,2,1,1,1,,,18,18,0,0,0,0,0,0,0,
Add,U32x2,17,2,1,1,1,,,97,97,0,0,0,0,0,0,0,
Add,I8x8,18,2,1,1,1,,,88,88,0,0,0,0,0,0,0,
FMul,D64x4,19,2,1,1,1,,,5259,5259,0,0,0,0,0,0,36,
SI64ToF32,D64x2,20,1,1,1,1,,,974,974,0,0,0,0,0,0,0,
Sub,I64x8,21,2,1,1,1,,,,,,,,,,,,
LT,U32,22,2,1,1,1,,,18,18,0,0,0,0,0,0,0,
UI8ToSI8,U32x4,23,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
GT,I64x4,24,2,1,1,1,,,131,131,0,0,0,0,0,0,0,
SI64ToUI8,U64x2,25,1,1,1,1,,,25,25,0,0,0,0,0,0,0,
LE,U8,26,2,1,1,1,,,6,6,0,0,0,0,0,0,0,
FMul,H16x8,27,2,1,1,1,,,1830,1830,0,0,0,0,0,0,8,
FnpMulAdd,D64x2,28,3,1,1,1,,,6156,6156,0,0,0,0,0,0,18,
SI8ToUI64,U64,29,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
FSub,H16,30,2,1,1,1,,,398,398,0,0,0,0,0,0,0,
RShf,I32x8,31,2,1,1,1,,,673,673,0,0,0,0,0,0,0,
LNot,I32x8,32,1,1,1,1,,,57,57,0,0,0,0,0,0,0,
npMulAdd,U8x8,33,3,1,1,1,,,770,770,0,0,0,0,0,0,0,
UI8ToSI16,I64,34,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
npMulAdd,I16x4,35,3,1,1,1,,,46,46,0,0,0,0,0,0,4,
EQ,I8x2,36,2,1,1,1,,,9,9,0,0,0,0,0,0,0,
UI8ToSI8,I64,37,1,1,1,1,,./马克,1,1,0,0,0,0,0,0,0,
SI16ToUI16,U16,38,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI64ToUI32,U64x2,39,1,1,1,1,,,15,15,0,0,0,0,0,0,0,
FppMulAdd,D64x2,40,3,1,1,1,,,6156,6156,0,0,0,0,0,0,18,
FixedCos,I16,41,1,1,1,1,,,69,69,0,0,0,0,0,0,0,
FAdd,H16x8,42,2,1,1,1,,,3149,3149,0,0,0,0,0,0,0,
UI8ToSI8,I16x2,43,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
FnpMulAdd,F32x8,44,3,1,1,1,,,,,,,,,,,,
H16ToUI32,D64x8,45,1,1,1,1,,,1106,1106,0,0,0,0,0,0,0,
UI16ToSI8,U16,46,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
F32ToUI16,D64x8,47,1,1,1,1,,,1614,1614,0,0,0,0,0,0,0,
LE,U32x8,48,2,1,1,1,,,133,133,0,0,0,0,0,0,0,
RShf,U16x8,49,2,1,1,1,,,282,282,0,0,0,0,0,0,0,
H16ToF32,D64x8,50,1,1,1,1,,,386,386,0,0,0,0,0,0,0,
LXor,I8x8,51,2,1,1,1,,,41,41,0,0,0,0,0,0,0,
